City,SubArea,Date,Address,BuildingType,LandArea,BuiltUp,PricePsf,Price
gombak,lot-gantian-banjir,09/09/2016,"✕✕✕ ✕✕✕✕, OFF JALAN SUNGAI TUA/ TAMAN JASA UTAMA",DETACHED FACTORY,,81 ft²,203,"8,850,000"
gombak,lot-gantian-banjir,,,,,,,
beranang,bandar-tasik-kesuma,08/09/2014,"✕✕, JALAN KASUMA 2/1, BANDAR TASIK KESUMA",DETACHED FACTORY,,"41,364 ft²",114,"6,500,000"
beranang,bandar-tasik-kesuma,,,,,,,
beranang,kawasan-perusahaan-beranang,12/04/2016,"✕✕✕ ✕, JL PERUSAHAAN 3",DETACHED FACTORY,,"21,998 ft²",120,"10,650,000"
beranang,kawasan-perusahaan-beranang,02/03/2016,"✕, JL PERUSAHAAN 4",DETACHED FACTORY,,"27,022 ft²",87,"8,000,000"
beranang,kawasan-perusahaan-beranang,27/05/2014,"✕✕✕ ✕(✕✕ ✕✕), JALAN PERUSAHAAN 1",DETACHED FACTORY,,"8,000 ft²",43,"8,739,417"
beranang,kawasan-perusahaan-beranang,11/04/2014,"✕✕✕ ✕✕✕, JALAN PERUSAHAAN 1",DETACHED FACTORY,,"42,044 ft²",70,"7,620,000"
beranang,kawasan-perusahaan-beranang,18/12/2013,"✕✕ ✕✕, JALAN PERUSAHAAN 2",DETACHED FACTORY,,"20,344 ft²",33,"6,600,000"
beranang,kawasan-perusahaan-beranang,,,,,,,
beranang,lion-industrial-park,20/07/2015,"✕✕. ✕-✕✕, JALAN PERINDUSTRIAN MAHKOTA 5",DETACHED FACTORY,,,93,"18,500,000"
beranang,lion-industrial-park,30/09/2014,"✕-✕✕, JALAN PERINDUSTRIAN MAHKOTA 7",DETACHED FACTORY,"24,391 ft²","41,333 ft²",287,"7,000,000"
beranang,lion-industrial-park,30/06/2014,"✕✕, JALAN PERINDUSTRIAN MAHKOTA 3/E",TERRACE FACTORY - INTERMEDIATE,"1,604 ft²","1,052 ft²",120,"193,000"
beranang,lion-industrial-park,21/01/2014,"✕✕, JALAN PERINDUSTRIAN MAHKOTA 3/E",TERRACE FACTORY - INTERMEDIATE,"1,604 ft²","1,052 ft²",112,"180,000"
