City,Year,CityAddress,BuildingType,LandArea,PricePsf
klang,2013,"klang, jalan sungai jeluh 32/191",SEMI-D FACTORY,"14,607",356
klang,2013,"klang, jalan sungai jeluh 32/192",SEMI-D FACTORY,"14,585",343
klang,2013,"klang, jalan sungai jeluh 32/192",SEMI-D FACTORY,"10,053",413
klang,2016,"klang, jalan air mata duyung",SEMI-D FACTORY,"11,564",220
klang,2015,"klang, jalan sungai jeluh 32/189",SEMI-D FACTORY,"10,592",293
klang,2015,"klang, jalan sungai jeluh 32/189",SEMI-D FACTORY,"10,592",283
klang,2014,"klang, jalan sungai jeluh 32/189",SEMI-D FACTORY,"10,592",274
klang,2014,"klang, jalan sungai jeluh 32/189 (p/l 3799)",SEMI-D FACTORY,"10,592",269
klang,2014,"klang, jalan sungai jeluh 32/189, bukit naga",SEMI-D FACTORY,"10,592",283
klang,2014,"klang, jalan sungai jeluh 32/189, bkit naga, seksyen 32",SEMI-D FACTORY,"10,592",269
klang,2013,"klang, jalan sungai jeluh 32/189",SEMI-D FACTORY,"10,592",269
klang,2013,"klang, jalan sungai jerluh 32/189",SEMI-D FACTORY,"10,592",266
klang,2013,"klang, jlaan sungai jeluh 32/189",SEMI-D FACTORY,"10,592",266
petaling jaya,2017,"petaling jaya, jalan 51/225a zon industri pjct",SEMI-D FACTORY,"11,848",658
petaling jaya,2017,"petaling jaya, jalan 51a/227",SEMI-D FACTORY,"15,999",342
petaling jaya,2017,"petaling jaya, jalan 51a/225a (zon industri pjct)",SEMI-D FACTORY,"11,652",762
petaling jaya,2016,"petaling jaya, jalan 51/203a",SEMI-D FACTORY,"13,614",606
petaling jaya,2016,"petaling jaya, jalan 51a/225",DETACHED FACTORY,"43,208",699
petaling jaya,2016,"petaling jaya, jalan 51/213",DETACHED FACTORY,"23,386",299
petaling jaya,2016,"petaling jaya, lorong 51a/227c",SEMI-D FACTORY,"15,999",353
klang,2016,"klang, jalan ikan mata duyung ks10",SEMI-D FACTORY,"21,463",200
klang,2015,"klang, jalan ikan mata duyung",SEMI-D FACTORY,"25,930",217
klang,2014,"klang, jalan ikan mata duyung",SEMI-D FACTORY,"31,883",173
klang,2013,"klang, jalan ikan mata duyung",SEMI-D FACTORY,"21,463",196
klang,2013,"klang, jalan ikan mata duyung",SEMI-D FACTORY,"21,797",194
klang,2017,"klang, off jalan air hitam",SEMI-D FACTORY,"13,476",223
klang,2017,"klang, jalan permata 9a/ks09",SEMI-D FACTORY,"13,003",204
